,Date,Player,Pts
0,2020-12-22,"Wiggins,Andrew",13
1,2020-12-22,"Curry,Stephen",20
2,2020-12-22,"Oubre,Kelly",6
3,2020-12-22,"Wiseman,James",19
4,2020-12-22,"Paschall,Eric",6
5,2020-12-22,"Wanamaker,Brad",3
6,2020-12-22,"Poole,Jordan",2
7,2020-12-22,"Toscano-Anderson,Juan",4
8,2020-12-22,"Chriss,Marquese",9
9,2020-12-22,"Lee,Damion",3
10,2020-12-22,"Bazemore,Kent",2
11,2020-12-22,"Looney,Kevon",4
12,2020-12-22,"Mulder,Mychal",8
13,2020-12-22,"Irving,Kyrie",26
14,2020-12-22,"Durant,Kevin",22
15,2020-12-22,"Harris,Joe",10
16,2020-12-22,"Dinwiddie,Spencer",9
17,2020-12-22,"Jordan,DeAndre",4
18,2020-12-22,"LeVert,Caris",20
19,2020-12-22,"Shamet,Landry",6
20,2020-12-22,"Allen,Jarrett",8
21,2020-12-22,"Green,Jeff",7
22,2020-12-22,"Prince,Taurean",1
23,2020-12-22,"Perry,Reggie",2
24,2020-12-22,"Brown,Bruce",2
25,2020-12-22,"Luwawu-Cabarrot,Timothé",5
26,2020-12-22,"Kurucs,Rodions",3
27,2020-12-22,"Johnson,Tyler",0
28,2020-12-22,"George,Paul",33
29,2020-12-22,"Leonard,Kawhi",26
30,2020-12-22,"Batum,Nicolas",3
31,2020-12-22,"Beverley,Patrick",10
32,2020-12-22,"Ibaka,Serge",15
33,2020-12-22,"Zubac,Ivica",11
34,2020-12-22,"Williams,Lou",11
35,2020-12-22,"Kennard,Luke",4
36,2020-12-22,"Patterson,Patrick",3
37,2020-12-22,"Jackson,Reggie",0
38,2020-12-22,"Mann,Terance",0
39,2020-12-22,"Kabengele,Mfiondu",0
40,2020-12-22,"Coffey,Amir",0
41,2020-12-22,"Davis,Anthony",18
42,2020-12-22,"James,LeBron",22
43,2020-12-22,"Schröder,Dennis",14
44,2020-12-22,"Caldwell-Pope,Kentavious",9
45,2020-12-22,"Gasol,Marc",0
46,2020-12-22,"Harrell,Montrezl",17
47,2020-12-22,"Kuzma,Kyle",15
48,2020-12-22,"Morris,Markieff",5
49,2020-12-22,"Caruso,Alex",3
50,2020-12-22,"Matthews,Wesley",0
51,2020-12-22,"Horton-Tucker,Talen",6
52,2020-12-22,"Cook,Quinn",0
53,2020-12-23,"Rozier,Terry",42
54,2020-12-23,"Graham,Devonte'",10
55,2020-12-23,"Hayward,Gordon",28
56,2020-12-23,"Washington,P.J.",4
57,2020-12-23,"Zeller,Cody",6
58,2020-12-23,"Biyombo,Bismack",11
59,2020-12-23,"Bridges,Miles",6
60,2020-12-23,"Martin,Cody",5
61,2020-12-23,"Ball,LaMelo",0
62,2020-12-23,"McDaniels,Jalen",2
63,2020-12-23,"Sexton,Collin",27
64,2020-12-23,"Nance,Larry",13
65,2020-12-23,"Okoro,Isaac",11
66,2020-12-23,"Garland,Darius",22
67,2020-12-23,"Drummond,Andre",14
68,2020-12-23,"McGee,JaVale",13
69,2020-12-23,"Osman,Cedi",11
70,2020-12-23,"Wade,Dean",7
71,2020-12-23,"Dotson,Damyean",0
72,2020-12-23,"Windler,Dylan",3
73,2020-12-23,"Bolden,Marques",0
